Nature mutation;Valeur fonciere;Code postal;Commune;Type local;Surface reelle bati;Nombre pieces principales;Surface terrain
Vente;468000;1550;FARGES;Maison;111;5;133
Vente;180000;1200;MONTANGES;Appartement;87;4;76
Vente;490000;1310;BUELLAS;Maison;190;6;500
Vente;490000;1310;BUELLAS;Maison;190;6;2452
Vente;295000;1990;BANEINS;Maison;95;2;965
Vente;425000;1390;RANCE;Maison;110;5;500
Vente;425000;1390;RANCE;Maison;110;5;777
Vente;1165000;1710;THOIRY;Maison;190;5;860
Vente;630000;1550;POUGNY;Maison;100;3;761
Vente;314000;1000;BOURG-EN-BRESSE;Maison;144;6;983
Vente;925000;1210;ORNEX;Maison;189;6;779
Vente;925000;1210;ORNEX;Maison;189;6;1000
Vente;211000;1100;BELLIGNAT;Maison;132;4;360
Vente;245000;1340;FOISSIAT;Maison;105;5;3378
Vente;245000;1340;FOISSIAT;Maison;105;5;700
Vente;265000;1340;FOISSIAT;Maison;118;5;2433
Vente;179000;1560;CORMOZ;Maison;70;2;927
Vente;235000;1800;MEXIMIEUX;Maison;69;3;184
Vente;265000;1310;CURTAFOND;Maison;122;5;900
Vente;215000;1150;LAGNIEU;Maison;78;4;83
Vente;295000;1300;MAGNIEU;Maison;115;4;374
Vente;267287;1120;MONTLUEL;Maison;78;3;191
Vente;132000;1300;BELLEY;Maison;92;3;377
Vente;250000;1130;LE POIZAT-LALLEYRIAT;Maison;115;6;552
Vente;87000;1290;PONT-DE-VEYLE;Maison;71;2;385
Vente;290000;1800;VILLIEU-LOYES-MOLLON;Maison;92;1;983
Vente;175000;1140;SAINT-DIDIER-SUR-CHALARONNE;Maison;77;4;1345
Vente;165000;1290;SAINT-JEAN-SUR-VEYLE;Maison;81;4;378
Vente;379900;1700;MIRIBEL;Maison;92;4;688
Vente;1200670;1170;CESSY;Maison;199;6;588
Vente;586400;1710;THOIRY;Maison;113;6;743
Vente;234200;1270;VERJON;Maison;138;6;1530
Vente;265000;1250;JASSERON;Maison;138;7;1064
Vente;265000;1250;JASSERON;Maison;138;7;500
Vente;361000;1340;BRESSE VALLONS;Maison;195;5;713
Vente;361000;1340;BRESSE VALLONS;Maison;195;5;500
Vente;230000;1800;MEXIMIEUX;Maison;108;4;84
Vente;100000;1330;AMBERIEUX-EN-DOMBES;Maison;96;4;489
Vente;354450;1700;MIRIBEL;Maison;106;5;235
Vente;150000;1400;DOMPIERRE-SUR-CHALARONNE;Maison;87;4;1087
Vente;618800;1700;MIRIBEL;Maison;120;4;621
Vente;618800;1700;MIRIBEL;Maison;120;4;634
Vente;490500;1390;TRAMOYES;Maison;117;5;500
Vente;490500;1390;TRAMOYES;Maison;117;5;508
Vente;483000;1700;MIRIBEL;Maison;104;4;500
Vente;483000;1700;MIRIBEL;Maison;104;4;1025
Vente;155000;1390;TRAMOYES;Maison;140;5;324
Vente;434600;1360;BALAN;Maison;101;5;800
Vente;160000;1680;MARCHAMP;Maison;138;6;104
Vente;619150;1550;COLLONGES;Maison;146;6;986
Vente;215000;1200;VALSERHONE;Appartement;45;2;103
Vente;215000;1200;VALSERHONE;Appartement;43;2;103
Vente;215000;1200;VALSERHONE;Appartement;25;1;103
Vente;441500;1420;SEYSSEL;Maison;109;5;793
Vente;760000;1170;ECHENEVEX;Maison;200;6;220
Vente;323000;1310;MONTRACOL;Maison;165;7;1070
Vente;460000;1800;VILLIEU-LOYES-MOLLON;Maison;140;7;500
Vente;460000;1800;VILLIEU-LOYES-MOLLON;Maison;140;7;931
Vente;120000;1200;MONTANGES;Maison;39;2;325
Vente;192000,4;1090;MONTCEAUX;Maison;87;3;402
Vente;320000;1240;SAINT-ANDRE-LE-BOUCHOUX;Maison;60;4;1713
Vente;165000;1310;SAINT-MARTIN-LE-CHATEL;Maison;129;6;1960
Vente;415000;1360;BELIGNEUX;Maison;190;6;378
Vente;650000;1400;CHATILLON-SUR-CHALARONNE;Maison;270;8;450
Vente;120000;1460;PORT;Maison;70;3;309
Vente;225300;1660;CHAVEYRIAT;Appartement;103;7;313
Vente;486000;1390;MIONNAY;Maison;112;4;811
Vente;100000;1000;BOURG-EN-BRESSE;Maison;50;2;152
Vente;215000;1230;SAINT-RAMBERT-EN-BUGEY;Maison;88;3;685
Vente;225000;1500;AMBERIEU-EN-BUGEY;Maison;117;6;61
Vente;113000;1110;BRENOD;Maison;108;5;982
Vente;120000;1140;PEYZIEUX-SUR-SAONE;Maison;90;4;294
Vente;175000;1340;FOISSIAT;Maison;170;4;4642
Vente;227550;1370;BENY;Maison;80;3;1661
Vente;310000;1120;PIZAY;Maison;88;4;1100
Vente;659630;1170;CESSY;Maison;105;6;385
Vente;115950;1500;AMBERIEU-EN-BUGEY;Maison;99;4;49
Vente;570000;1630;CHALLEX;Maison;118;3;186
Vente;215000;1600;TREVOUX;Maison;65;4;359
Vente;410000;1150;SAINTE-JULIE;Maison;143;4;855
Vente;350000;1380;SAINT-CYR-SUR-MENTHON;Maison;94;4;1000
Vente;350000;1380;SAINT-CYR-SUR-MENTHON;Maison;94;4;3281
Vente;100000;1500;AMBERIEU-EN-BUGEY;Maison;89;4;995
Vente;494000;1390;MIONNAY;Maison;90;4;899
Vente;470706;1120;DAGNEUX;Maison;115;4;603
Vente;182500;1470;BRIORD;Maison;96;4;641
Vente;182500;1470;BRIORD;Maison;47;2;641
Vente;400000;1320;VILLETTE-SUR-AIN;Maison;80;4;700
Vente;200000;1170;VESANCY;Maison;73;4;185
Vente;398300;1700;MIRIBEL;Maison;80;4;193
Vente;400000;1500;AMBERIEU-EN-BUGEY;Maison;137;4;915
Vente;355000;1640;JUJURIEUX;Maison;103;3;67
Vente;297000;1150;SAINTE-JULIE;Maison;127;5;332
Vente;110000;1160;VARAMBON;Appartement;33;2;100
Vente;110000;1160;VARAMBON;Appartement;90;3;100
Vente;185000;1570;FEILLENS;Maison;92;4;436
Vente;1211150;1480;FAREINS;Maison;248;7;6000
Vente;1211150;1480;FAREINS;Maison;248;7;674
Vente;144000;1140;PEYZIEUX-SUR-SAONE;Maison;50;1;1122
Vente;190000;1260;CHAMPAGNE-EN-VALROMEY;Maison;68;3;1002
Vente;113000;1130;NANTUA;Maison;128;2;327
Vente;660000;1140;ST-ETIENNE-SUR-CHALARONNE;Maison;202;5;540
Vente;212757,05;1380;BAGE-DOMMARTIN;Maison;85;4;362
Vente;210000;1240;LENT;Maison;88;4;841
Vente;175000;1190;SERMOYER;Maison;72;3;564
Vente;175000;1190;SERMOYER;Maison;84;3;564
Vente;210500;1640;SAINT-JEAN-LE-VIEUX;Maison;113;5;84
Vente;220000;1600;TREVOUX;Maison;75;3;241
Vente;160000;1150;BLYES;Maison;101;4;345
Vente;440000;1600;SAINT-BERNARD;Maison;140;4;807
Vente;13500;1250;SIMANDRE-SUR-SURAN;Maison;30;1;692
Vente;207000;1340;FOISSIAT;Maison;130;4;1134
Vente;208000;1230;SAINT-RAMBERT-EN-BUGEY;Maison;70;3;55
Vente;785000;1700;NEYRON;Maison;180;5;500
Vente;785000;1700;NEYRON;Maison;180;5;525
Vente;289000;1500;AMBRONAY;Maison;90;4;581
Vente;190000;1340;MARSONNAS;Maison;101;3;592
Vente;330000;1350;CULOZ-BEON;Maison;113;4;558
Vente;237048,25;1750;REPLONGES;Maison;115;5;887
Vente;195000;1300;BRENS;Maison;152;6;773
Vente;260000;1420;SEYSSEL;Maison;78;4;18
Vente;600000;1170;GEX;Maison;98;4;802
Vente;550698;1170;ECHENEVEX;Maison;17;1;454
Vente;550698;1170;ECHENEVEX;Maison;88;4;454
Vente;345000;1580;SONTHONNAX-LA-MONTAGNE;Maison;190;6;774
Vente;215000;1350;ANGLEFORT;Maison;112;4;341
Vente;285000;1400;NEUVILLE-LES-DAMES;Maison;105;4;1007
Vente;285000;1400;NEUVILLE-LES-DAMES;Maison;105;4;700
Vente;277000;1640;SAINT-JEAN-LE-VIEUX;Maison;97;4;397
Vente;193500;1150;SAULT-BRENAZ;Maison;130;3;73
Vente;185000;1250;NIVIGNE ET SURAN;Appartement;140;4;190
Vente;185000;1250;NIVIGNE ET SURAN;Appartement;154;5;190
Vente;362000;1540;VONNAS;Maison;135;5;500
Vente;362000;1540;VONNAS;Maison;135;5;993
Vente;362000;1120;MONTLUEL;Maison;98;4;428
Vente;175000;1270;COLIGNY;Maison;148;3;74
Vente;440000;1550;COLLONGES;Maison;80;4;59
Vente;630000;1170;CHEVRY;Maison;124;5;517
Vente;378050;1600;MASSIEUX;Maison;115;5;500
Vente;378050;1600;MASSIEUX;Maison;115;5;1065
Vente;357760;1200;VALSERHONE;Maison;80;6;837
Vente;272500;1340;MARSONNAS;Maison;156;5;1200
Vente;272500;1340;MARSONNAS;Maison;156;5;2069
Vente;82000;1500;AMBERIEU-EN-BUGEY;Maison;70;2;65
Vente;330000;1600;MISERIEUX;Maison;83;4;820
Vente;250000;1500;AMBERIEU-EN-BUGEY;Maison;90;5;244
Vente;273000;1310;SAINT-MARTIN-LE-CHATEL;Maison;120;4;746
Vente;660200;1170;CHEVRY;Maison;125;4;462
Vente;370000;1150;LAGNIEU;Appartement;156;7;493
Vente;460000;1120;LA BOISSE;Maison;180;3;1024
Vente;253000;1160;PONT-D AIN;Maison;105;4;157
Vente;240000;1140;ILLIAT;Maison;97;4;318
Vente;60000;1230;SAINT-RAMBERT-EN-BUGEY;Maison;80;3;115
Vente;341700;1240;SAINT-PAUL-DE-VARAX;Maison;100;5;760
Vente;165000;1470;BRIORD;Maison;80;3;789
Vente;27600;1150;VAUX-EN-BUGEY;Maison;53;3;76
Vente;350000;1320;CHALAMONT;Maison;115;5;1380
Vente;380000;1330;BOULIGNEUX;Maison;99;6;404
Vente;455000;1700;MIRIBEL;Maison;136;4;500
Vente;455000;1700;MIRIBEL;Maison;136;4;1365
Vente;155000;1150;LAGNIEU;Maison;50;2;44
Vente;230000;1320;CHALAMONT;Maison;94;4;747
Vente;230000;1320;CHALAMONT;Maison;94;4;7085
Vente;355000;1480;VILLENEUVE;Maison;97;5;982
Vente;412000;1600;TREVOUX;Maison;65;3;785
Vente;400000;1600;MISERIEUX;Maison;183;5;754
Vente;400000;1600;MISERIEUX;Maison;183;5;500
