Nature mutation;Valeur fonciere;Commune;Surface reelle bati;Nombre pieces principales;Surface terrain
Vente;2100000.0;PARIS 17;126.0;5.0;159.0
Vente;1850000.0;PARIS 19;109.0;4.0;241.0
Vente;2322830.0;PARIS 18;80.0;3.0;67.0
Vente;1630000.0;PARIS 19;50.0;3.0;107.0
Vente;5032000.0;PARIS 17;281.0;8.0;224.0
Vente;1010100.0;PARIS 19;95.0;3.0;121.0
Vente;1145000.0;PARIS 20;116.0;3.0;106.0
Vente;1076300.0;PARIS 20;105.0;4.0;112.0
Vente;965000.0;PARIS 19;96.0;6.0;76.0
Vente;1558500.0;PARIS 19;80.0;3.0;64.0
Vente;2650000.0;PARIS 17;210.0;6.0;127.0
Vente;896000.0;PARIS 18;77.0;5.0;73.0
Vente;490000.0;PARIS 20;39.0;2.0;105.0
Vente;1030500.0;PARIS 20;87.0;5.0;176.0
Vente;1884500.0;PARIS 19;91.0;4.0;94.0
Vente;1700000.0;PARIS 18;228.0;9.0;125.0
Vente;941000.0;PARIS 20;115.0;6.0;94.0
Vente;1334000.0;PARIS 19;60.0;4.0;118.0
Vente;620000.0;PARIS 18;66.0;4.0;50.0
Vente;700000.0;PARIS 18;95.0;4.0;83.0
Vente;1200000.0;PARIS 19;86.0;4.0;128.0
Vente;2200000.0;PARIS 18;90.0;4.0;186.0
Vente;2275000.0;PARIS 19;122.0;6.0;146.0
Vente;970060.0;PARIS 18;82.0;4.0;68.0
Vente;845000.0;PARIS 18;116.0;3.0;64.0
Vente;845000.0;PARIS 18;71.0;4.0;64.0
Vente;1260641.0;PARIS 20;120.0;5.0;93.0
Vente;1000000.0;PARIS 20;64.0;3.0;125.0
Vente;1000000.0;PARIS 20;43.0;2.0;125.0
Vente;1168500.0;PARIS 20;100.0;6.0;155.0
Vente;1360000.0;PARIS 20;92.0;4.0;107.0
Vente;2220000.0;PARIS 19;180.0;6.0;161.0
Vente;1153503.0;PARIS 20;90.0;5.0;138.0
Vente;1306700.0;PARIS 18;150.0;4.0;136.0
Vente;3638000.0;PARIS 18;183.0;9.0;68.0
Vente;1900000.0;PARIS 20;160.0;6.0;209.0
Vente;3000000.0;PARIS 20;20.0;2.0;84.0
Vente;3000000.0;PARIS 20;200.0;5.0;206.0
Vente;1416106.0;PARIS 19;72.0;3.0;138.0
Vente;1093600.0;PARIS 19;70.0;3.0;68.0
Vente;599664.0;PARIS 19;136.0;7.0;200.0
Vente;1870500.0;PARIS 18;117.0;5.0;75.0
Vente;1058471.0;PARIS 19;93.0;3.0;56.0
Vente;947600.0;PARIS 19;90.0;4.0;97.0
Vente;3850000.0;PARIS 18;147.0;5.0;136.0
Vente;1543000.0;PARIS 20;85.0;4.0;164.0
Vente;2166000.0;PARIS 18;102.0;4.0;114.0
Vente;1050000.0;PARIS 19;48.0;3.0;58.0
Echange;449000.0;PARIS 17;185.0;5.0;178.0
Vente;1460000.0;PARIS 19;110.0;4.0;207.0
Vente;2459000.0;PARIS 18;151.0;5.0;50.0
Vente;6100000.0;PARIS 18;291.0;9.0;662.0
Vente;650000.0;PARIS 19;24.0;1.0;819.0
Vente;1143350.0;PARIS 20;150.0;7.0;102.0
Vente;2015100.0;PARIS 19;120.0;5.0;165.0
Vente;890000.0;PARIS 19;93.0;5.0;98.0
Vente;1499400.0;PARIS 18;90.0;3.0;90.0
Vente;1499400.0;PARIS 18;8.0;1.0;90.0
Vente;1458000.0;PARIS 20;125.0;6.0;169.0
Vente;670000.0;PARIS 20;55.0;3.0;65.0
Vente;939500.0;PARIS 19;88.0;6.0;81.0
Vente;2091650.0;PARIS 19;105.0;4.0;146.0
Vente;1513900.0;PARIS 19;80.0;5.0;96.0
Vente;5575000.0;PARIS 18;95.0;3.0;233.0
Vente;1028200.0;PARIS 19;147.0;8.0;72.0
Vente;600000.0;PARIS 19;57.0;4.0;73.0
Vente;1040000.0;PARIS 20;141.0;5.0;120.0
Vente;195810.0;PARIS 20;80.0;6.0;61.0
Vente;1630000.0;PARIS 19;163.0;3.0;51.0
Vente;1280000.0;PARIS 19;177.0;8.0;134.0
Vente;2231150.0;PARIS 14;205.0;6.0;103.0
Vente;1305380.0;PARIS 13;90.0;4.0;104.0
Vente;1210000.0;PARIS 12;58.0;5.0;74.0
Vente;875000.0;PARIS 13;88.0;5.0;70.0
Vente;760000.0;PARIS 14;48.0;4.0;117.0
Vente;770000.0;PARIS 13;95.0;4.0;46.0
Vente;2710000.0;PARIS 15;18.0;2.0;316.0
Vente;2185000.0;PARIS 16;138.0;7.0;101.0
Vente;995000.0;PARIS 12;72.0;4.0;103.0
Vente;405140.0;PARIS 16;272.0;7.0;249.0
Vente;900000.0;PARIS 13;40.0;3.0;77.0
Vente;3286000.0;PARIS 16;277.0;8.0;163.0
Vente;1800000.0;PARIS 14;36.0;3.0;178.0
Vente;2332300.0;PARIS 16;165.0;7.0;120.0
Vente;1530000.0;PARIS 16;75.0;2.0;141.0
Vente;8100000.0;PARIS 16;400.0;14.0;297.0
Vente;1637000.0;PARIS 16;142.0;6.0;96.0
Vente;4279676.0;PARIS 13;54.0;4.0;156.0
Vente;5180000.0;PARIS 05;180.0;7.0;133.0
Vente;1892800.0;PARIS 13;94.0;4.0;151.0
Vente;2315000.0;PARIS 13;180.0;5.0;236.0
Vente;6310000.0;PARIS 16;415.0;8.0;211.0
Vente;2160000.0;PARIS 14;225.0;7.0;116.0
Vente;4375000.0;PARIS 16;165.0;8.0;100.0
Vente;540000.0;PARIS 14;149.0;6.0;101.0
Vente;4944020.0;PARIS 16;344.0;12.0;281.0
Vente;5983360.0;PARIS 16;214.0;7.0;177.0
Vente;1665650.0;PARIS 15;147.0;7.0;120.0
Vente;18000000.0;PARIS 11;25.0;2.0;1584.0
Vente;2493750.0;PARIS 15;250.0;5.0;105.0
Vente;1055000.0;PARIS 13;98.0;5.0;92.0
Vente;1600000.0;PARIS 14;140.0;4.0;116.0
Vente;8150000.0;PARIS 16;300.0;8.0;428.0
Vente;930000.0;PARIS 16;61.0;3.0;29.0
Vente;4870800.0;PARIS 16;140.0;3.0;193.0
Vente;4558450.0;PARIS 16;255.0;7.0;254.0
Vente;2816200.0;PARIS 14;180.0;5.0;187.0
Vente;1905000.0;PARIS 16;50.0;2.0;200.0
Vente;2075000.0;PARIS 14;120.0;3.0;56.0
Vente;4650000.0;PARIS 16;225.0;8.0;185.0
Vente;6748988.0;PARIS 16;300.0;7.0;317.0
Vente;615000.0;PARIS 16;44.0;2.0;58.0
Vente;9955470.0;PARIS 06;173.0;6.0;174.0
Vente;2450000.0;PARIS 16;264.0;9.0;116.0
Vente;4542370.0;PARIS 16;283.0;9.0;130.0
Vente;6039000.0;PARIS 16;338.0;10.0;275.0
Vente;1071000.0;PARIS 12;97.0;5.0;118.0
Vente;1575000.0;PARIS 13;170.0;7.0;100.0
Vente;1652000.0;PARIS 13;126.0;6.0;146.0
Vente;7262614.0;PARIS 16;310.0;14.0;311.0
Vente;20500000.0;PARIS 16;570.0;14.0;913.0
Vente;2400000.0;PARIS 13;93.0;5.0;196.0
Vente;1346000.0;PARIS 12;150.0;5.0;206.0
Vente;5000000.0;PARIS 16;194.0;7.0;334.0
Vente;5000000.0;PARIS 16;36.0;3.0;43.0
Vente;3425300.0;PARIS 15;225.0;7.0;128.0
Vente;3600000.0;PARIS 13;48.0;3.0;245.0
Vente;2600000.0;PARIS 16;325.0;8.0;92.0
Vente;807500.0;PARIS 13;80.0;4.0;130.0
Vente;1447266.0;PARIS 14;105.0;4.0;58.0
